"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","score"
1.78497479602936e-12,1.00946361539585,0.342,0.14,6.51248054331314e-08,"EN-Mature","PYURF",0.203911650309963
1.05744828391367e-09,1.40246051345971,0.21,0.065,3.85810006385901e-05,"EN-Mature","TC2N",0.203356774451658
1.5704639129224e-11,1.10268298791257,0.288,0.104,5.72983758629737e-07,"EN-Mature","GPR137B",0.202893669775913
1.6902318794358e-09,1.42410416965682,0.21,0.068,6.16681101212153e-05,"EN-Mature","AL157396.1",0.202222792091269
1.07860122282284e-11,1.12702782933551,0.267,0.088,3.93527656146915e-07,"EN-Mature","TAF9",0.201737981451057
2.09202248036541e-09,1.5876983778903,0.156,0.029,7.6327440196132e-05,"EN-Mature","RASSF3",0.201637693992068
1.28606357716269e-09,1.53578693231009,0.163,0.033,4.69220296127808e-05,"EN-Mature","ITM2A",0.199652301200312
9.18572969805613e-09,1.74856016955663,0.137,0.023,0.000335141348033578,"EN-Mature","AC021733.4",0.199335859329456
3.97080418925879e-11,1.05305207300914,0.323,0.134,1.44874790845107e-06,"EN-Mature","PRKAG2-AS1",0.199026841798728
3.34062793530719e-10,1.24128287778997,0.245,0.085,1.21882810219683e-05,"EN-Mature","NOLC1",0.198605260446395
4.6243921018114e-11,1.10795050653332,0.29,0.111,1.68720945834589e-06,"EN-Mature","DTX3",0.198323140669464
9.34151272177378e-11,1.18139086358088,0.258,0.091,3.40825091653917e-06,"EN-Mature","DCTN6",0.197292274218007
1.46492998459549e-11,1.02850631620918,0.305,0.114,5.34479704879663e-07,"EN-Mature","PNMA8A",0.196444706395953
1.27610586020972e-11,1.0230301879199,0.309,0.117,4.65587223097515e-07,"EN-Mature","CACNA1G",0.196421796080622
3.35634313400332e-11,1.14026259405687,0.247,0.075,1.22456179244111e-06,"EN-Mature","SNHG7",0.196125166177781
2.54656918180576e-11,1.03205722689254,0.337,0.147,9.29115765981831e-07,"EN-Mature","NSUN3",0.196090873109583
8.8747041317873e-12,1.04729806121859,0.301,0.114,3.2379358024826e-07,"EN-Mature","VMA21",0.195844737447877
3.24394907339422e-09,1.54151186881338,0.163,0.036,0.000118355481942788,"EN-Mature","ZNF622",0.195772007339299
1.34485631329553e-08,1.54108742063385,0.189,0.062,0.000490670825905874,"EN-Mature","LINC01923",0.195718102420498
5.12958252246422e-10,1.33724726209612,0.205,0.059,1.87152818332107e-05,"EN-Mature","ARL5B",0.195238100266033
8.81278722220504e-12,1.01818142651658,0.282,0.091,3.21534541802151e-07,"EN-Mature","TRAF6",0.194472652464667
1.07420048231024e-08,1.63197004972061,0.148,0.029,0.000391922045970891,"EN-Mature","C1orf131",0.194204435916753
1.68631702888338e-09,1.36388348817711,0.197,0.055,6.15252767988102e-05,"EN-Mature","AL138701.2",0.193671455321149
2.47793063982524e-07,2.07453506333909,0.109,0.016,0.0090407299394024,"EN-Mature","PLEKHH2",0.192931760890536
3.03373083213e-11,1.04846972360532,0.291,0.107,1.10685669410263e-06,"EN-Mature","RNF7",0.192918429143379
9.42851016003564e-12,1.0034919514235,0.303,0.111,3.439991931889e-07,"EN-Mature","LHX2",0.192670454673312
6.37550811724102e-12,1.00256613988805,0.309,0.117,2.32610413657539e-07,"EN-Mature","ERP29",0.192492698858506
7.29880969221296e-10,1.26518052261115,0.23,0.078,2.6629707162039e-05,"EN-Mature","SHROOM2",0.192307439436895
7.0416352326732e-11,1.16909966724456,0.239,0.075,2.56914061464082e-06,"EN-Mature","ABHD10",0.191732345428107
5.91846968127809e-08,1.69415774728704,0.155,0.042,0.00215935366321431,"EN-Mature","TUSC1",0.191439825443435
2.61626851943363e-11,1.01449363637845,0.318,0.13,9.5454556931536e-07,"EN-Mature","KCNJ9",0.190724803639148
4.35577764387564e-08,1.77942084920411,0.13,0.023,0.00158920547336803,"EN-Mature","ONECUT2",0.19039803086484
6.1102293305002e-08,1.68486285007658,0.155,0.042,0.002229317171233,"EN-Mature","GPRIN3",0.190389502058653
2.95835845354285e-11,1.04995867407954,0.282,0.101,1.07935708177511e-06,"EN-Mature","AIMP1",0.190042520008397
2.35689352993988e-08,1.82346246691461,0.117,0.013,0.000859912604398564,"EN-Mature","MDFIC",0.189640096559119
3.73622873603146e-09,1.48094429787498,0.167,0.039,0.000136316305434108,"EN-Mature","TIMM10B",0.189560870127997
3.78521893193155e-10,1.15570326750159,0.257,0.094,1.38103712731523e-05,"EN-Mature","AL583808.1",0.18837963260276
4.3983856554265e-11,1.06930345925721,0.27,0.094,1.60475100638236e-06,"EN-Mature","MRPL14",0.18819740882927
8.64831161802843e-11,1.04755409997167,0.283,0.104,3.15533649383767e-06,"EN-Mature","ABHD16A",0.187512183894929
3.46201240766366e-11,1.04064638973739,0.278,0.098,1.26311522693608e-06,"EN-Mature","RORA-AS1",0.18731635015273
1.34867689326025e-08,1.611056928337,0.145,0.029,0.000492064764506001,"EN-Mature","AL713852.1",0.186882603687092
9.45115726229759e-11,1.05486651077056,0.277,0.101,3.44825472714928e-06,"EN-Mature","FSTL1",0.185656505895619
2.72805750500236e-10,1.17351943257418,0.259,0.101,9.95331780700109e-06,"EN-Mature","GTF2F1",0.18541607034672
2.63024976755997e-09,1.26751851152617,0.223,0.078,9.59646627694256e-05,"EN-Mature","AC244517.11",0.183790184171295
5.62107509828462e-10,1.09286199213924,0.305,0.137,2.05084924960914e-05,"EN-Mature","SPHKAP",0.183600814679392
2.15980378090546e-09,1.17561883602804,0.244,0.088,7.88004409463358e-05,"EN-Mature","AP000462.1",0.183396538420374
1.31974154842364e-10,1.10228632586001,0.244,0.078,4.81507703942366e-06,"EN-Mature","L3MBTL3",0.182979530092762
6.67637732957478e-08,1.55658809353601,0.169,0.052,0.00243587626869536,"EN-Mature","AL162493.1",0.182120806943713
3.1839911088653e-09,1.20670827450814,0.241,0.091,0.000116167915606951,"EN-Mature","AC092691.3",0.181006241176221
1.44984227400565e-09,1.21133226110516,0.227,0.078,5.2897495367096e-05,"EN-Mature","KHSRP",0.180488506904669
2.96701482456553e-09,1.23678816629467,0.213,0.068,0.000108251535874273,"EN-Mature","ZNF510",0.179334284112726
5.86139084190775e-08,1.67443604213237,0.14,0.033,0.00213852844867004,"EN-Mature","C17orf49",0.179164656508164
